path,line,column,severity,rule,classification,message
alpha/apps/kaltura/lib/Services_JSON.class.php,817,9,ERROR,PHPCompatibility.FunctionNameRestrictions.RemovedPHP4StyleConstructors.Removed,unverified static candidate,Declaration of a PHP4 style class constructor is deprecated since PHP 7.0 and removed since PHP 8.0
alpha/apps/kaltura/lib/___myMailAttachmentImporter.class.php,53,14,ERROR,PHPCompatibility.FunctionUse.RemovedFunctions.imap_headerRemoved,unverified static candidate,Function imap_header() is removed since PHP 8.0; Use imap_headerinfo() instead
alpha/apps/kaltura/lib/___myMailAttachmentImporter.class.php,319,100,ERROR,PHPCompatibility.Operators.ChangedConcatOperatorPrecedence.Found,unverified static candidate,"Using an unparenthesized expression containing a ""."" before a ""+"" or ""-"" has been deprecated in PHP 7.4 and removed in PHP 8.0"
alpha/apps/kaltura/lib/baseObjectUtils.class.php,474,37,ERROR,PHPCompatibility.Operators.RemovedTernaryAssociativity.Removed,unverified static candidate,The left-associativity of the ternary operator has been deprecated in PHP 7.4 and removed in PHP 8.0. Multiple consecutive ternaries detected. Use parenthesis to clarify the order in which the operations should be executed
alpha/apps/kaltura/lib/batch2/kFlowHelper.php,75,75,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $fileExt is optional, while parameter $flavorParamsId is required. The $fileExt parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/batch2/kFlowHelper.php,492,59,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $asset is optional, while parameter $liveSegmentCount is required. The $asset parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/batch2/kJobsManager.php,1629,73,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $entryId is optional, while parameter $storage is required. The $entryId parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/batch2/kJobsManager.php,1652,70,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $entryId is optional, while parameter $partnerId is required. The $entryId parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/batch2/model/kBatchHistoryData.php,141,11,WARNING,PHPCompatibility.FunctionUse.RemovedFunctions.strftimeDeprecated,unverified static candidate,Function strftime() is deprecated since PHP 8.1; Use date() or IntlDateFormatter::format() instead
alpha/apps/kaltura/lib/batch2/model/kRecalculateResponseProfileCacheJobData.php,1,1,WARNING,Internal.LineEndings.Mixed,unverified static candidate,File has mixed line endings; this may cause incorrect results
alpha/apps/kaltura/lib/clipconcat/kClipManager.php,425,38,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $priority is optional, while parameter $assetId is required. The $priority parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/config/kConfigTable.class.php,349,10,ERROR,PHPCompatibility.FunctionNameRestrictions.RemovedPHP4StyleConstructors.Removed,unverified static candidate,Declaration of a PHP4 style class constructor is deprecated since PHP 7.0 and removed since PHP 8.0
alpha/apps/kaltura/lib/config/kXmlConfig.class.php,30,9,ERROR,PHPCompatibility.FunctionNameRestrictions.RemovedPHP4StyleConstructors.Removed,unverified static candidate,Declaration of a PHP4 style class constructor is deprecated since PHP 7.0 and removed since PHP 8.0
alpha/apps/kaltura/lib/dateUtils.class.php,54,10,WARNING,PHPCompatibility.FunctionUse.RemovedFunctions.strftimeDeprecated,unverified static candidate,Function strftime() is deprecated since PHP 8.1; Use date() or IntlDateFormatter::format() instead
